mvnGroupId,thingName,libName
javax.activation,activation,javax.activation
org.apache.axis2,axis2-adb,axis2
org.apache.axis2,axis2-kernel,axis2
org.apache.axis2,axis2-transport-http,axis2
org.apache.axis2,axis2-transport-local,axis2
javax.mail,mail,javax.mail
org.apache.tomcat,jsp-api,tomcat.jsp-api
org.apache.tomcat,servlet-api,tomcat.servlet-api
,Batik animation,Batik
,Batik AWT utility library,Batik
,Batik bridge,Batik
,Batik image codecs,Batik
,Batik CSS engine,Batik
,Batik DOM Level 3 implementation,Batik
,Batik external code,Batik
,Batik extensions,Batik
,Batik GUI utility library,Batik
,Batik GVT library,Batik
,Batik parser library,Batik
,Batik script library,Batik
,Batik SVG DOM implementation,Batik
,Batik SVG generator,Batik
,Batik Swing components,Batik
,Batik transcoder,Batik
,Batik utility library,Batik
,Batik XML utility library,Batik
