origDistFile,thingName,thingVersion,md5,sha1,refUrl,notes
google-collect-1.0.jar,Google Collections,1.0,b5483f116137f86201dc96c1dcfc7083,a2437cd90ef0e7f0840645489f4226e73400d0dc,https://code.google.com/p/google-collections/downloads/detail?name=google-collect-1.0.zip&can=1&q=,Found in the original zip distribution
bluecove.jar,bluecove,1.2.1,84140891ed00fe95575ffa12390782d9,,http://sourceforge.net/projects/bluecove/files/BlueCove/,"None of these match the R2014a bluecove file, but keeping them for reference"
bluecove.jar,bluecove,1.2.2,40d308367d8697fab954ec811a0ef227,,,
bluecove-1.2.3.jar,bluecove,1.2.3,65d29c024e849c8c03285f2c0442b12f,,,
bluecove-2.0.0.jar,bluecove,2.0.0,4d7cfb89947eb64f4192b56ab39d8bce,,,
bluecove-2.0.1.jar,bluecove,2.0.1,be34994c86179fea34273cdb27831237,,,
bluecove-2.0.2.jar,bluecove,2.0.2,7f14ba148fb5e1eb6819617291281993,,,
bluecove-2.0.3.jar,bluecove,2.0.3,141f86a0e464ae9b72eab2f5a796e3c0,,,
bluecove-2.1.0.jar,bluecove,2.1.0,a0119cb381b42aa09018c7092cfdbe4e,,,
bluecove-emu-2.0.3.jar,bluecove-emu,2.0.3,16c500b90332f2156e7f5810b8ac140a,,,
bluecove-emu-2.1.0.jar,bluecove-emu,2.1.0,996ca2965f25a0131c85490c3cf464b3,,,
bluecove-gpl-2.0.3.jar,bluecove-gpl,2.0.3,2e841c49b5687c9e049a85a73583990a,,,
bluecove-gpl-2.1.0.jar,bluecove-gpl,2.1.0,78304a5e7f8913d561b67ff9d17ef4de,,,
**dummy line*,**dummy line*,**dummy line*,**dummy line*,**dummy line*,**dummy line*,**dummy line*
